Datetime,Open,High,Low,Close,Adj Close,Volume
2020-07-20 09:15:00+05:30,972.7999877929688,974.25,970.4000244140625,974.25,974.25,0
2020-07-20 09:16:00+05:30,974.25,982.7000122070312,974.0,982.7000122070312,982.7000122070312,3638
2020-07-20 09:17:00+05:30,982.7000122070312,988.0,981.5499877929688,983.9500122070312,983.9500122070312,4411
2020-07-20 09:18:00+05:30,984.0499877929688,988.0,983.0999755859375,985.9500122070312,985.9500122070312,2196
2020-07-20 09:19:00+05:30,984.0,984.0,980.0,981.0,981.0,2062
2020-07-20 09:20:00+05:30,980.0,985.0,980.0,984.0,984.0,1804
2020-07-20 09:21:00+05:30,981.25,981.25,977.5999755859375,979.9500122070312,979.9500122070312,1855
2020-07-20 09:22:00+05:30,979.9500122070312,981.0,978.25,978.25,978.25,2152
2020-07-20 09:23:00+05:30,979.5,981.0,979.0,980.0,980.0,1566
2020-07-20 09:24:00+05:30,981.0,981.1500244140625,979.0,981.1500244140625,981.1500244140625,776
2020-07-20 09:25:00+05:30,980.0,981.0,978.6500244140625,978.6500244140625,978.6500244140625,560
2020-07-20 09:26:00+05:30,978.5,980.0,978.5,980.0,980.0,610
2020-07-20 09:27:00+05:30,980.0,980.0,978.0,979.25,979.25,600
2020-07-20 09:28:00+05:30,979.7000122070312,979.7000122070312,976.0,976.5499877929688,976.5499877929688,970
2020-07-20 09:29:00+05:30,978.6500244140625,980.0,976.0999755859375,980.0,980.0,2817
2020-07-20 09:30:00+05:30,979.9500122070312,979.9500122070312,976.0,978.9000244140625,978.9000244140625,550
2020-07-20 09:31:00+05:30,978.2000122070312,979.8499755859375,978.2000122070312,979.7999877929688,979.7999877929688,71
2020-07-20 09:32:00+05:30,979.8499755859375,980.75,979.75,980.0,980.0,1239
2020-07-20 09:33:00+05:30,980.0,980.0,978.0499877929688,978.0499877929688,978.0499877929688,607
2020-07-20 09:34:00+05:30,977.4000244140625,979.0,977.0499877929688,979.0,979.0,121
2020-07-20 09:35:00+05:30,978.5,979.7000122070312,978.5,979.6500244140625,979.6500244140625,292
2020-07-20 09:36:00+05:30,979.6500244140625,979.7000122070312,979.0,979.0,979.0,524
2020-07-20 09:37:00+05:30,979.6500244140625,979.7000122070312,976.9000244140625,978.4000244140625,978.4000244140625,393
2020-07-20 09:38:00+05:30,978.2999877929688,978.5499877929688,977.0499877929688,977.0499877929688,977.0499877929688,447
2020-07-20 09:39:00+05:30,977.2000122070312,978.0499877929688,977.2000122070312,977.25,977.25,218
2020-07-20 09:40:00+05:30,977.25,978.0,977.25,978.0,978.0,6
2020-07-20 09:41:00+05:30,977.0,977.75,977.0,977.75,977.75,384
2020-07-20 09:42:00+05:30,977.6500244140625,978.0,976.5,978.0,978.0,220
2020-07-20 09:43:00+05:30,976.7000122070312,977.9500122070312,976.7000122070312,977.9500122070312,977.9500122070312,33
2020-07-20 09:44:00+05:30,976.75,978.2999877929688,976.75,978.2999877929688,978.2999877929688,222
2020-07-20 09:45:00+05:30,978.2999877929688,978.4500122070312,977.0,978.4500122070312,978.4500122070312,63
2020-07-20 09:46:00+05:30,978.0,978.4500122070312,977.0,977.0,977.0,118
2020-07-20 09:47:00+05:30,976.7999877929688,978.4500122070312,976.7999877929688,978.4500122070312,978.4500122070312,174
2020-07-20 09:48:00+05:30,977.0499877929688,978.4500122070312,977.0499877929688,978.4500122070312,978.4500122070312,105
